id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
4389,1729,1729,2015/2016,1,9825,8654,0,2,1.29,6,12,1.28,5.75,10.5,1.29,5.5,12,1.3,5,11,1.3,5.75,12
4390,1729,1729,2015/2016,1,8678,10252,0,1,2,3.6,4,2,3.3,3.7,2.05,3.3,4,1.91,3.5,4,2,3.5,4.2
4391,1729,1729,2015/2016,1,8455,10003,2,2,1.36,5,11,1.4,4.75,9,1.4,4.5,10,1.4,4,10,1.4,5,9.5
4392,1729,1729,2015/2016,1,8668,9817,2,2,1.7,3.9,5.5,1.7,3.5,5,1.75,3.8,5,1.73,3.5,5,1.73,3.9,5.4
4393,1729,1729,2015/2016,1,8197,8472,4,2,1.95,3.5,4.33,2,3.3,3.75,2,3.4,4.2,2,3.1,2.7,2,3.4,4.33
4394,1729,1729,2015/2016,1,10260,8586,1,0,1.65,4,6,1.65,4,5.5,1.67,4,5.5,1.62,3.6,6,1.67,4,5.75
4395,1729,1729,2015/2016,1,10261,8466,2,2,2.88,3.3,2.7,2.8,3.1,2.75,2.88,3.3,2.6,2.7,3.1,2.7,2.88,3.25,2.7
4396,1729,1729,2015/2016,1,9850,9826,1,3,2.55,3.3,3,2.6,3.2,2.7,2.62,3.2,2.9,2.6,3.1,2.88,2.6,3.25,3
4397,1729,1729,2015/2016,1,10194,8650,0,1,3.4,3.4,2.3,3.2,3.4,2.3,3.4,3.3,2.3,3.3,3.1,2.3,3.4,3.4,2.3
4398,1729,1729,2015/2016,1,8659,8456,0,3,5.75,4,1.67,4.75,4,1.65,5.5,3.75,1.67,5.5,3.5,1.7,5.5,4,1.7
4399,1729,1729,2015/2016,10,9825,8668,2,1,1.44,4.75,8,1.44,4.6,7.25,1.44,4.5,8,1.44,4,8,1.44,4.8,8
4400,1729,1729,2015/2016,10,10252,10003,1,2,3,3.3,2.6,2.7,3.2,2.6,2.9,3.1,2.62,3,2.9,2.62,3,3.25,2.63
4401,1729,1729,2015/2016,10,8678,8586,1,5,3.4,3.5,2.25,3.3,3.3,2.25,3.4,3.3,2.25,3.5,3,2.25,3.5,3.4,2.25
4402,1729,1729,2015/2016,10,8197,9826,1,0,2.2,3.6,3.4,2.25,3.3,3.1,2.25,3.4,3.3,2.3,2.9,3.5,2.2,3.6,3.4
4403,1729,1729,2015/2016,10,8650,8466,1,1,2.05,3.6,3.8,2.05,3.5,3.6,2.1,3.4,3.75,2.1,3.3,3.9,2.1,3.5,3.8
4404,1729,1729,2015/2016,10,10260,8456,0,0,2.6,3.5,2.8,2.65,3.3,2.85,2.5,3.3,2.75,2.7,3.2,2.88,2.63,3.5,2.8
4405,1729,1729,2015/2016,10,9850,8659,0,1,2,3.5,4.2,2,3.3,3.7,2,3.4,4,2.05,3.1,4,1.98,3.5,4.33
4406,1729,1729,2015/2016,10,10194,9817,0,2,2.1,3.3,4,2.1,3.25,3.5,2.1,3.2,4,2.15,3.1,3.6,2.1,3.3,4.1
4407,1729,1729,2015/2016,10,8472,10261,3,0,2.6,3.4,2.9,2.55,3.3,2.65,2.62,3.3,2.88,2.62,3.1,3,2.63,3.3,2.9
4408,1729,1729,2015/2016,10,8654,8455,2,1,4,3.8,1.95,3.6,3.7,2,3.75,3.6,2,4,3.2,2,3.9,3.7,2
4409,1729,1729,2015/2016,11,8455,8650,1,3,2.1,3.5,3.75,2.1,3.3,3.4,2.1,3.4,3.75,2.1,3.2,3.75,2.1,3.4,3.9
4410,1729,1729,2015/2016,11,9826,10260,0,0,3.8,3.5,2.1,3.4,3.4,2.1,3.8,3.4,2.05,4,3,2.1,4,3.4,2.1
4411,1729,1729,2015/2016,11,8668,8472,6,2,1.5,4.5,7.5,1.5,4,6.5,1.5,4.2,7,1.53,3.8,7,1.5,4.6,7.5
4412,1729,1729,2015/2016,11,8456,9850,2,1,1.29,6,12,1.28,5.75,9,1.29,6,11,1.29,5,12,1.29,6.25,11.5
4413,1729,1729,2015/2016,11,10261,10194,0,0,2.4,3.4,3.2,2.4,3.3,3,2.4,3.4,3.1,2.4,3.1,3.1,2.38,3.4,3.25
4414,1729,1729,2015/2016,11,8466,8678,2,0,1.55,4.33,6.5,1.55,4,5.75,1.57,4.2,6,1.57,3.8,6,1.53,4.33,7
4415,1729,1729,2015/2016,11,10003,9825,0,3,5,4,1.75,4.5,3.6,1.75,4.75,3.8,1.73,5,3.5,1.75,5,4,1.73
4416,1729,1729,2015/2016,11,8586,10252,3,1,1.44,4.75,8,1.42,4.33,7.25,1.44,4.5,7.5,1.44,4.2,8,1.4,4.8,9
4417,1729,1729,2015/2016,11,9817,8654,2,0,2.6,3.4,2.9,2.6,3.2,2.7,2.5,3.4,2.9,2.62,3.1,2.8,2.55,3.3,3
4418,1729,1729,2015/2016,11,8659,8197,2,3,2.9,3.4,2.6,2.6,3.3,2.6,2.88,3.3,2.6,2.9,3,2.62,2.9,3.3,2.63
4419,1729,1729,2015/2016,12,9825,8586,1,1,1.73,4,5,1.72,3.8,4.4,1.7,4,5,1.75,3.4,5,1.73,4.1,5
4420,1729,1729,2015/2016,12,10252,8456,0,0,7.5,5,1.44,7,4.33,1.44,7.5,4.75,1.44,8,4,1.44,8,4.8,1.44
4421,1729,1729,2015/2016,12,8678,10261,0,1,2.25,3.5,3.4,2.25,3.4,3.1,2.2,3.5,3.4,2.25,3.1,3.4,2.2,3.6,3.5
4422,1729,1729,2015/2016,12,8197,9817,2,1,1.85,3.8,4.5,1.85,3.6,4,1.85,3.75,4.33,1.83,3.2,4.33,1.85,3.8,4.5
4423,1729,1729,2015/2016,12,8650,9826,1,2,1.67,3.8,6,1.67,3.7,5,1.7,3.75,5.5,1.7,3.2,6,1.67,4,5.75
4424,1729,1729,2015/2016,12,10260,8659,2,0,1.33,5.25,12,1.33,5,8.75,1.36,4.5,11,1.36,4,12,1.33,5.25,11.5
4425,1729,1729,2015/2016,12,9850,10003,1,0,2.45,3.4,3.1,2.55,3.2,2.85,2.4,3.4,3,2.5,3.1,2.9,2.5,3.4,3
4426,1729,1729,2015/2016,12,10194,8455,1,0,3.8,3.6,2.05,3.6,3.25,2.05,3.8,3.4,2.05,3.75,3.1,2.1,3.9,3.5,2.1
4427,1729,1729,2015/2016,12,8472,8466,0,1,4.75,3.8,1.8,4.75,3.6,1.75,4.75,3.6,1.8,5,3.2,1.8,5,3.7,1.8
4428,1729,1729,2015/2016,12,8654,8668,1,1,2.6,3.5,2.8,2.55,3.3,2.7,2.6,3.4,2.8,2.62,3.1,2.8,2.55,3.5,2.88
4429,1729,1729,2015/2016,13,8455,9850,1,0,1.4,5,9,1.4,4.75,8,1.44,4.5,8.5,1.4,4.5,8,1.44,4.8,8.5
4430,1729,1729,2015/2016,13,9826,8472,0,1,1.57,4,7,1.57,3.8,5.75,1.57,4,6.5,1.6,3.4,7,1.55,4.2,7
4431,1729,1729,2015/2016,13,8668,10252,4,0,1.57,4.2,6.5,1.57,3.9,5.75,1.6,4,6,1.57,3.8,6,1.55,4.2,7
4432,1729,1729,2015/2016,13,8456,8650,1,4,1.7,4,5.5,1.7,3.75,5.5,1.7,3.8,5.5,1.7,3.5,5.5,1.65,4.1,5.75
4433,1729,1729,2015/2016,13,10261,8197,0,3,2.88,3.6,2.5,2.65,3.4,2.5,2.8,3.5,2.5,2.75,3.25,2.6,2.8,3.6,2.55
4434,1729,1729,2015/2016,13,8466,10194,0,1,1.57,4,7,1.57,3.9,5.75,1.62,3.8,6.5,1.62,3.5,6.5,1.62,4,6.5
4435,1729,1729,2015/2016,13,10003,8678,2,2,1.91,3.6,4.5,1.85,3.6,4.5,1.91,3.5,4.33,1.95,3.1,4.5,1.9,3.6,4.6
4436,1729,1729,2015/2016,13,8586,8654,4,1,1.57,4.2,6.5,1.57,4.1,5.25,1.57,4,6.5,1.6,3.75,6,1.55,4.4,6.5
4437,1729,1729,2015/2016,13,9817,10260,1,2,4.33,3.4,2,3.9,3.4,2,4,3.4,2.05,4,3.1,2.05,4.33,3.25,2.05
4438,1729,1729,2015/2016,13,8659,9825,2,1,7,4.33,1.53,6,4.33,1.53,6.5,4.33,1.53,6.5,4,1.53,7,4.33,1.53
4439,1729,1729,2015/2016,14,10252,9817,2,3,2.75,3.3,2.8,2.75,3,2.75,2.7,3.25,2.8,2.7,3.1,2.7,2.8,3.13,2.88
4440,1729,1729,2015/2016,14,8678,8668,3,3,2.9,3.6,2.5,2.65,3.4,2.5,2.9,3.5,2.5,2.9,3.2,2.5,3,3.6,2.4
4441,1729,1729,2015/2016,14,9826,10261,5,1,1.7,3.9,5.5,1.72,3.8,4.4,1.7,3.8,5.5,1.73,3.5,5,1.7,4,5.5
4442,1729,1729,2015/2016,14,8197,10260,1,1,3.1,3.5,2.4,2.95,3.4,2.4,3,3.4,2.38,3.1,3.1,2.4,3.3,3.4,2.38
4443,1729,1729,2015/2016,14,8650,10003,1,0,1.44,4.75,8,1.45,4.4,7.5,1.5,4.33,7,1.5,4,7,1.45,4.75,8
4444,1729,1729,2015/2016,14,8456,8466,3,1,1.6,4.33,6,1.6,4.2,5.25,1.57,4.33,6,1.57,3.8,6,1.57,4.4,6.25
4445,1729,1729,2015/2016,14,9850,9825,1,1,6,4.2,1.62,5.25,4.1,1.62,5.5,4.2,1.62,5.5,4,1.57,5.75,4.33,1.62
4446,1729,1729,2015/2016,14,8472,10194,2,0,3.2,3.3,2.45,3,3.1,2.4,3.2,3.25,2.4,3.1,3.1,2.4,3.2,3.3,2.45
4447,1729,1729,2015/2016,14,8586,8455,0,0,2.6,3.4,2.9,2.6,3.1,2.9,2.6,3.4,2.8,2.5,3.2,2.9,2.55,3.5,2.88
4448,1729,1729,2015/2016,14,8654,8659,1,1,2.05,3.5,4,2.05,3.25,3.6,2.05,3.4,3.8,2.05,3.3,3.75,2.1,3.4,4
4449,1729,1729,2015/2016,15,9825,8472,3,1,1.29,6,13,1.26,6.25,10.5,1.25,5.5,12,1.29,5,12,1.29,5.75,13
4450,1729,1729,2015/2016,15,8455,8678,0,1,1.36,5.25,9.5,1.38,5,8,1.36,4.75,9,1.36,4.5,9,1.36,5.25,10
4451,1729,1729,2015/2016,15,8668,9826,1,1,2.1,3.6,3.75,2.1,3.3,3.4,2,3.4,3.6,2,3.3,3.75,2.05,3.6,3.8
4452,1729,1729,2015/2016,15,10260,8654,0,0,1.44,4.5,9,1.44,4.33,8,1.4,4.33,8.5,1.44,3.8,9,1.44,4.5,9
4453,1729,1729,2015/2016,15,10261,8650,2,0,5.75,4.33,1.62,5.5,4,1.62,5.25,4,1.57,5.5,3.75,1.62,6,4.2,1.62
4454,1729,1729,2015/2016,15,8466,10252,1,1,1.5,4.5,7.5,1.5,4.25,6,1.5,4,7,1.53,3.6,7.5,1.53,4.2,7.5
4455,1729,1729,2015/2016,15,10194,8456,2,0,5.25,4,1.7,5,3.7,1.72,4.75,3.8,1.67,5.5,3.4,1.7,5.4,4,1.7
4456,1729,1729,2015/2016,15,10003,8197,0,3,2.7,3.4,2.75,2.75,3.25,2.65,2.5,3.3,2.62,2.8,3.1,2.62,2.7,3.5,2.75
4457,1729,1729,2015/2016,15,9817,9850,2,0,2.15,3.5,3.6,2.15,3.2,3.4,2.15,3.3,3.4,2.15,3.1,3.6,2.15,3.5,3.7
4458,1729,1729,2015/2016,15,8659,8586,1,1,4.75,3.6,1.85,3.9,3.4,1.91,4.33,3.5,1.83,4.5,3.1,1.91,4.8,3.4,1.9
4459,1729,1729,2015/2016,16,10252,9825,0,2,6.5,4.2,1.57,6.5,3.9,1.57,6,4,1.53,6.5,3.75,1.57,7,4.2,1.55
4460,1729,1729,2015/2016,16,8678,10260,2,1,3.4,3.4,2.3,3.2,3.3,2.3,3.3,3.4,2.3,3.2,3.2,2.3,3.5,3.3,2.3
4461,1729,1729,2015/2016,16,9826,8466,1,0,2.6,3.3,3,2.6,3.25,2.65,2.5,3.2,2.9,2.5,3.1,3,2.55,3.3,3
4462,1729,1729,2015/2016,16,8197,8455,2,1,3.2,3.5,2.35,3,3.3,2.4,3,3.4,2.3,3.2,3.2,2.3,3.13,3.5,2.4
